FieldMappingID	ReplicationID	IsForth	TrgFieldID	SrcFieldID	SrcExpression	
5233	190	Y	10613		MakeDateTime([CNDATCRT], [CNTIMCRT])	
5234	190	Y	10614		MakeDateTime([CNDATUPD], [CNTIMUPD])	
5250	191	Y	10630		MakeDateTime([TXNDATE])	
5297	195	Y	10677		LowDate(MakeDateTime([DATADATE]))	
5316	196	Y	10696		makedatetime([TSDTTR])	
5333	197	Y	10713		LowDate(MakeDateTime([TSDTTR]))	
5358	199	Y	10738		MakeDateTime([TSDTTR])	
5370	200	Y	10750		MakeDateTime([PRDATE])	
5382	200	Y	10762		MakeDateTime([PMCRTD],[PMCRTT])	
5383	200	Y	10763		MakeDateTime([PMUPDD],[PMUPDT])	
5391	201	Y	10771		MakeDateTime([TSDTTR])	
5429	202	Y	10809		MakeDateTime([AVCRTD],[AVCRTT])	
5430	202	Y	10810		MakeDateTime([AVUPDD],[AVUPDT])	
5478	204	Y	10858		MakeDateTime([MCCRTD],[MCCRTT])	
5479	204	Y	10859		MakeDateTime([MCUPDD],[MCUPDT])	
5553	205	Y	10933		MakeDatetime([BOCRTD],[BOCRTT])	
5555	205	Y	10935		MakeDatetime([BOUPDD],[BOUPDT])	
5558	205	Y	10938		MakeDatetime([BOEBLD],[BOEBLT])	
5561	205	Y	10941		MakeDatetime([BOFBLD],[BOFBLT])	
5592	207	Y	10972		MakeDateTime([QTRECDATE])	
5593	207	Y	10973		MakeDateTime([QTSETUPDT])	
5624	207	Y	11007		MakeDateTime([QTCRTD], [QTCRTT])	
5625	207	Y	11008		MakeDateTime([QTUPDD],[QTUPDT])	
5642	208	Y	11022		MakeDateTime([FCTDAT])	
5643	208	Y	11023		MakeDateTime([FCTEDAT])	
5649	208	Y	11029		MakeDateTime([PFCRTD], [PFCRTT])

	
5655	209	Y	11035		MakeDateTime([RDCRTD],[RDCRTT])	
5656	209	Y	11036		MakeDateTime([RDUPDD],[RDUPDT])	
5660	210	Y	11040		[!RecordID]	
5686	210	Y	11066		MakeDateTime([DATECR],[TIMECR])	
5688	210	Y	11068		MakeDateTime([DATEUP],[TIMEUP])	
5691	210	Y	11071		MakeDateTime([BXCRTD],[BXCRTT])	
5692	210	Y	11072		MakeDateTime([BXUPDD],[BXUPDT])	
5699	211	Y	11079		MakeDateTime([DATSYS],[TIMSYS])	
5721	211	Y	11101		MakeDateTime([RCVDTE])	
5722	211	Y	11102		MakeDateTime([RQDATE])	
5723	211	Y	11103		MakeDateTime([ASNDTE])	
5724	211	Y	11104		MakeDateTime([PRTDTE])	
5727	211	Y	11107		MakeDateTime([BIDDTE])	
5731	211	Y	11111		MakeDateTime([CHKDTE])	
5737	211	Y	11117		MakeDateTime([PPSDT])	
5738	211	Y	11118		MakeDateTime([FPSDT])	
5740	211	Y	11120		MakeDateTime([FPSADT])	
5745	211	Y	11125		MakeDateTime([PSPDT])	
5750	211	Y	11130		MakeDateTime([FSPDT])	
5754	211	Y	11134		MakeDateTime([FTDATC],[FTTIMC])	
5755	211	Y	11135		MakeDateTime([FTDATU],[FTTIMU])	
5759	212	Y	11139		[!RecordID]	
5773	212	Y	11153		MakeDateTime([HLDATCRT],[HLTIMCRT])	
5774	212	Y	11154		MakeDateTime([HLDATUPD],[HLTIMUPD])	
5791	213	Y	11171		MakeDateTime([DATEIS])	
5793	213	Y	11173		MakeDateTime([JIDATCRT],[JITIMCRT])	
5794	213	Y	11174		MakeDateTime([JIDATUPD],[JITIMUPD])	
5809	215	Y	11189		MakeDateTime([EGDATCRT],[EGTIMCRT])	
5810	215	Y	11190		MakeDateTime([EGDATUPD],[EGTIMUPD])	
5907	217	Y	11287		MakeDateTime([DATE])	
5914	217	Y	11294		MakeDateTime([CQCRTD],[CQCRTT])	
5915	217	Y	11295		MakeDateTime([CQUPDD],[CQUPDT])	
5942	218	Y	11322		MakeDateTime([BKCRTD],[BKCRTT])	
5943	218	Y	11323		MakeDateTime([BKUPDD],[BKUPDT])	
5991	219	Y	11371		MakeDateTime([MRCRTD],[MRCRTT])	
5992	219	Y	11372		MakeDateTime([MRUPDD],[MRUPDT])	
6051	220	Y	11431		MakeDateTime([ARCRTD],[ARCRTT])	
6052	220	Y	11432		MakeDateTime([ARUPDD],[ARUPDT])	
6089	222	Y	11469		MakeDateTime([SHIP_DATE])	
6093	222	Y	11473		MakeDateTime([ON_QUEUE_DATE])	
6094	222	Y	11474		MakeDateTime([RELEASE_DATE])	
6095	222	Y	11475		MakeDateTime([PULL_DATE])	
6096	222	Y	11476		MakeDateTime([START_DATE])	
6097	222	Y	11477		MakeDateTime([FINISH_DATE])	
6107	222	Y	11487		MakeDateTime([POSTEEL])	
6108	222	Y	11488		MakeDateTime([POPAINT])	
6109	222	Y	11489		MakeDateTime([POHARDWARE])	
6110	222	Y	11490		MakeDateTime([POMETAL])	
6111	222	Y	11491		MakeDateTime([POGLASS])	
6114	222	Y	11494		MakeDateTime([MFG_START_DATE])	
6121	223	Y	11501		MakeDateTime([TIME_STAMP])	
6127	224	Y	11507		MakeDateTime([TIME_STAMP])	
6153	231	Y	11533		MakeDateTime([LOGGED_DATE])	
6167	233	Y	11547		MakeDateTime([EST_COMPLETE])	
6195	239	Y	11575		MakeDateTime([LAST_UPDATED])	
6200	240	Y	11580		MakeDateTime([DATE_COMPLETE])	
6201	240	Y	11581		MakeDateTime([DATE_STARTED])	
6206	240	Y	11586		MakeDateTime([DATE_REQ])	
6207	240	Y	11587		MakeDateTime([ROLL_OUT_DATE])	
6213	240	Y	11593		MakeDateTime([EST_COMPLETE_DATE])	
6226	242	Y	11606		[!RecordID]	
6248	242	Y	11628		MakeDateTime("YYYYMMDD",[DTEAPL])	
6249	242	Y	11629		MakeDateTime("YYYYMMDD",[DTEDSC])	
6250	242	Y	11630		MakeDateTime("YYYYMMDD",[DTEDUE])	
6251	242	Y	11631		MakeDateTime("YYYYMMDD",[DTEEFF])	
6252	242	Y	11632		MakeDateTime("YYYYMMDD",[DTETRN])	
6282	243	Y	11662		[!RecordID]	
6287	244	Y	11667		[!RecordID]	
6293	245	Y	11673		[!RecordID]	
6302	245	Y	11682		MakeDateTime("YYYYMMDD",[DTEAPL])	
6303	245	Y	11683		MakeDateTime("YYYYMMDD",[DTECLR])	
6304	245	Y	11684		MakeDateTime("YYYYMMDD",[DTEEFF])	
6305	245	Y	11685		MakeDateTime("YYYYMMDD",[DTETRN])	
6336	246	Y	11716		MakeDateTime("YYYYMMDD",[DTEAPL])	
6337	246	Y	11717		MakeDateTime("YYYYMMDD",[DTEDSC])	
6338	246	Y	11718		MakeDateTime("YYYYMMDD",[DTEDUE])	
6339	246	Y	11719		MakeDateTime("YYYYMMDD",[DTEEFF])	
6340	246	Y	11720		MakeDateTime("YYMMDD",[DTEREF])	
6341	246	Y	11721		MakeDateTime("YYYYMMDD",[DTETRN])	
6367	247	Y	11747		[!RecordID]	
6373	248	Y	11753		[!RecordID]	
6391	248	Y	11771		MakeDateTime("YYYYMMDD",[DTEAPL])	
